// FFXIV 1.0 (1.23b) RTTI Database — 4358 classes
// Generated from: ffxivgame.exe
// Date: 2026-05-18 13:35:01

// Format: Demangled | VTable VA | VFunc Count | TypeDescriptor VA | Mangled
// -------------------------------------------------------------------------
Application::Lua::Script::Client::Command::Network::StartServerOrderEventFunctionReceiver  | 0x010574C8 |   5 | 0x012D8AD8 | .?AVStartServerOrderEventFunctionReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::SyncMemoryReceiver                     | 0x0105747C |   2 | 0x012D89D8 | .?AVSyncMemoryReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::UserDataReceiver                       | 0x010574A4 |   2 | 0x012D8A28 | .?AVUserDataReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::System::AttributeTypeEventEnterReceiver         | 0x00FDFB10 |   2 | 0x012C3410 | .?AVAttributeTypeEventEnterReceiver@System@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::System::AttributeTypeEventLeaveReceiver         | 0x00FDFB1C |   2 | 0x012C3470 | .?AVAttributeTypeEventLeaveReceiver@System@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::System::ChangeActorSubStatModeBorderReceiver    | 0x010575E0 |   2 | 0x012D8D70 | .?AVChangeActorSubStatModeBorderReceiver@System@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::System::ChangeActorSubStatStatusReceiver        | 0x010575C8 |   5 | 0x012D8D10 | .?AVChangeActorSubStatStatusReceiver@System@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::System::ChocoboGradeReceiver                    | 0x010575A4 |   2 | 0x012D8C20 | .?AVChocoboGradeReceiver@System@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::System::ChocoboReceiver                         | 0x01057598 |   2 | 0x012D8BD0 | .?AVChocoboReceiver@System@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::System::ExecuteDebugCommandReceiver             | 0x010575EC |   2 | 0x012D8DD0 | .?AVExecuteDebugCommandReceiver@System@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::System::ExecutePushOnEnterTriggerBoxReceiver    | 0x00FDFAF8 |   2 | 0x012C3350 | .?AVExecutePushOnEnterTriggerBoxReceiver@System@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::System::ExecutePushOnLeaveTriggerBoxReceiver    | 0x00FDFB04 |   2 | 0x012C33B0 | .?AVExecutePushOnLeaveTriggerBoxReceiver@System@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::System::GoobbueReceiver                         | 0x010575B0 |   2 | 0x012D8C70 | .?AVGoobbueReceiver@System@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::System::VehicleGradeReceiver                    | 0x010575BC |   2 | 0x012D8CC0 | .?AVVehicleGradeReceiver@System@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::GetKeyboardFocusedControlProcessor | 0x00FD5784 |   4 | 0x012C11C0 | .?AVGetKeyboardFocusedControlProcessor@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::GetPropertyProcessor              | 0x00FD5764 |   7 | 0x012C1168 | .?AVGetPropertyProcessor@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::GetWidgetTextListener             | 0x00FD56E8 |   2 | 0x012C0E18 | .?AVGetWidgetTextListener@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::PrintTextListener                 | 0x00FD5268 |   2 | 0x012C0360 | .?AVPrintTextListener@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::s_CameraTutorialResumeChecker     | 0x00FD538C |   3 | 0x012C0738 | .?AVs_CameraTutorialResumeChecker@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::s_CharaIterate                    | 0x00FD58F0 |   2 | 0x012C1368 | .?AVs_CharaIterate@?A0xfd906835@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::?A0xfd906835::s_CharaIterateActorClass          | 0x00FD590C |   2 | 0x012C1430 | .?AVs_CharaIterateActorClass@?A0xfd906835@Control@Client@Script@Lua@Application@@
